Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
P,SO,,,,,
Appalachian State,,,,,,
2025,,,,,,
Murray State,,,,,,
6/2/2025,,,,,,
Ben Berkhof,,,,,,
P,FR,,,,,
North Dakota State,,,,,,
2025,,,,,,
Minnesota State,,,,,,
6/2/2025,,,,,,
Vincent Gohlke,,,,,,
P,SO,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
Lewis,,,,,,
6/2/2025,,,,,,
Finley Bates,,,,,,
SS,SO,,,,,
San Diego State,,,,,,
2025,,,,,,
Tennessee,,,,,,
6/2/2025,,,,,,
Tanner Thomas,,,,,,
1B,JR,,,,,
Gardner-Webb,,,,,,
2025,,,,,,
Xavier,,,,,,
6/2/2025,,,,,,
Matthew Graveline,,,,,,
LF,JR,,,,,
Ohio State,,,,,,
2025,,,,,,
West Virginia,,,,,,
6/2/2025,,,,,,
Dawson Newman,,,,,,
P,FR,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
VCU,,,,,,
6/2/2025,,,,,,
Max Shor,,,,,,
C,JR,,,,,
Fresno State,,,,,,
2025,,,,,,
CSU San Marcos,,,,,,
6/2/2025,,,,,,
Houston Tomlinson,,,,,,
P,FR,,,,,
Texas A&M,,,,,,
2025,,,,,,
Arkansas State,,,,,,
6/2/2025,,,,,,
Zach Colangelo,,,,,,
OF,SO,,,,,
Longwood,,,,,,
2025,,,,,,
Clarion,,,,,,
6/2/2025,,,,,,
Gio Melchione,,,,,,
DH,FR,,,,,
UNLV,,,,,,
2025,,,,,,
Akron,,,,,,
6/2/2025,,,,,,
Kris Hokenson,,,,,,
RF,JR,,,,,
Minnesota,,,,,,
2025,,,,,,
Murray State,,,,,,
6/2/2025,,,,,,
Harrison Bowman,,,,,,
LF,SO,,,,,
Troy,,,,,,
2025,,,,,,
Central Michigan,,,,,,
6/2/2025,,,,,,
Anthony Avalos,,,,,,
SS,SO,,,,,
Houston,,,,,,
2025,,,,,,
Houston Christian,,,,,,
6/2/2025,,,,,,
Alec Ammerman,,,,,,
P,FR,,,,,
Grand Canyon,,,,,,
2025,,,,,,
Southern Illinois,,,,,,
6/2/2025,,,,,,
Cole Tabor,,,,,,
2B,JR,,,,,
Texas State,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/2/2025,,,,,,
Nolan Girard,,,,,,
P,FR,,,,,
Illinois,,,,,,
2025,,,,,,
Illinois State,,,,,,
6/2/2025,,,,,,
Blake Gaskey,,,,,,
P,SR,,,,,
Ohio,,,,,,
2025,,,,,,
Northern Illinois,,,,,,
6/2/2025,,,,,,
Presley Monteforte,,,,,,
P,JR,,,,,
New Mexico,,,,,,
2025,,,,,,
Bellarmine,,,,,,
6/2/2025,,,,,,
George Holt,,,,,,
IF,FR,,,,,
Portland,,,,,,
2025,,,,,,
Hofstra,,,,,,
6/2/2025,,,,,,
Jake Troyner,,,,,,
IF,FR,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
Heartland,,,,,,
6/2/2025,,,,,,
Dylan O'Connell,,,,,,
LF,JR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
Milwaukee,,,,,,
6/2/2025,,,,,,
Kaysen Raineri,,,,,,
P,FR,,,,,
Hawaii,,,,,,
2025,,,,,,
Texas Tech,,,,,,
6/2/2025,,,,,,
Will Yeary,,,,,,
P,FR,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
Oral Roberts,,,,,,
6/2/2025,,,,,,
Gavin Brummund,,,,,,
P,JR,,,,,
Omaha,,,,,,
2025,,,,,,
West Texas A&M,,,,,,
6/2/2025,,,,,,
John-Paul Sauer,,,,,,
P,FR,,,,,
Tulane,,,,,,
2025,,,,,,
Southeast Missouri,,,,,,
6/2/2025,,,,,,
Matthew DelVecchio,,,,,,
P,JR,,,,,
Niagara,,,,,,
2025,,,,,,
Florida International,,,,,,
6/2/2025,,,,,,
Daniel Bass,,,,,,
P,JR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Tarleton State,,,,,,
6/2/2025,,,,,,
Luke Smith,,,,,,
2B,JR,,,,,
Rice,,,,,,
2025,,,,,,
UT Tyler,,,,,,
6/2/2025,,,,,,
Conner Doucet,,,,,,
P,JR,,,,,
Texas State,,,,,,
2025,,,,,,
Tarleton State,,,,,,
6/2/2025,,,,,,
Derek Duval,,,,,,
P,JR,,,,,
College of Charleston,,,,,,
2025,,,,,,
St. Bonaventure,,,,,,
6/2/2025,,,,,,
David Horn Jr.,,,,,,
P,JR,,,,,
San Diego,,,,,,
2025,,,,,,
Middle Tennessee,,,,,,
6/2/2025,,,,,,
Garet Boehm,,,,,,
3B,SO,,,,,
Texas Tech,,,,,,
2025,,,,,,
Rice,,,,,,
6/2/2025,,,,,,
Nathan Anderson,,,,,,
P,SR,,,,,
Creighton,,,,,,
2025,,,,,,
Southern Indiana,,,,,,
6/2/2025,,,,,,
Caden Cline,,,,,,
P,JR,,,,,
UT Arlington,,,,,,
2025,,,,,,
Lubbock Christian,,,,,,
6/2/2025,,,,,,
Caden Cline,,,,,,
P,FR,,,,,
Midland (TX),,,,,,
2025,,,,,,
Lubbock Christian,,,,,,
6/2/2025,,,,,,
Zac Colletti,,,,,,
P,JR,,,,,
UT Arlington,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/2/2025,,,,,,
Jordan Medellin,,,,,,
SS,SO,,,,,
UT Arlington,,,,,,
2025,,,,,,
Arkansas-Pine Bluff,,,,,,
6/2/2025,,,,,,
Justin Rumfield,,,,,,
DH,JR,,,,,
UT Arlington,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/2/2025,,,,,,
Ty Brachbill,,,,,,
P,SO,,,,,
Northern Illinois,,,,,,
2025,,,,,,
High Point,,,,,,
6/2/2025,,,,,,
Julian Abreu,,,,,,
IF,SO,,,,,
Marist,,,,,,
2025,,,,,,
Lackawanna,,,,,,
6/2/2025,,,,,,
Jonathan Fitz,,,,,,
1B,SO,,,,,
San Diego,,,,,,
2025,,,,,,
Xavier,,,,,,
6/2/2025,,,,,,
Tucker Swails,,,,,,
P,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Radford,,,,,,
6/2/2025,,,,,,
Ryan Pugh,,,,,,
P,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Delaware,,,,,,
6/2/2025,,,,,,
Isaac VanderWoude,,,,,,
IF-OF,FR,,,,,
Virginia,,,,,,
2025,,,,,,
Belmont,,,,,,
6/2/2025,,,,,,
Aidan Coleman,,,,,,
P,SO,,,,,
Pittsburgh,,,,,,
2025,,,,,,
Abilene Christian,,,,,,
6/2/2025,,,,,,
Keeton Burroughs,,,,,,
CF,SO,,,,,
Pittsburgh,,,,,,
2025,,,,,,
Wofford,,,,,,
6/2/2025,,,,,,
Francesco Capocci,,,,,,
P,SO,,,,,
North Carolina,,,,,,
2025,,,,,,
UNC Wilmington,,,,,,
6/2/2025,,,,,,
Tyler Parks,,,,,,
IF,FR,,,,,
North Carolina,,,,,,
2025,,,,,,
UNC Asheville,,,,,,
6/2/2025,,,,,,
Mitch Wilson,,,,,,
C,FR,,,,,
North Carolina,,,,,,
2025,,,,,,
North Greenville,,,,,,
6/2/2025,,,,,,
Parker McCoy,,,,,,
IF,FR,,,,,
North Carolina,,,,,,
2025,,,,,,
Louisiana Tech,,,,,,
6/2/2025,,,,,,
Peter Lemke,,,,,,
P-IF,SO,,,,,
Denison,,,,,,
2025,,,,,,
Duke,,,,,,
6/2/2025,,,,,,
Gavin Grutzmacher,,,,,,
2B,JR,,,,,
Coppin State,,,,,,
2025,,,,,,
Utah Tech,,,,,,
6/2/2025,,,,,,
Logan Gregorio,,,,,,
C,JR,,,,,
Northern Illinois,,,,,,
2025,,,,,,
Auburn,,,,,,
6/2/2025,,,,,,
Ethan Borggren,,,,,,
P,FR,,,,,
Northwestern,,,,,,
2025,,,,,,
Parkland,,,,,,
6/2/2025,,,,,,
AJ Garcia,,,,,,
RF,SO,,,,,
Michigan,,,,,,
2025,,,,,,
Bradley,,,,,,
6/2/2025,,,,,,
Eli Small,,,,,,
OF,SO,,,,,
Kentucky,,,,,,
2025,,,,,,
Florida Atlantic,,,,,,
6/2/2025,,,,,,
Jacob Lang,,,,,,
C,JR,,,,,
UT Arlington,,,,,,
2025,,,,,,
Southern Arkansas,,,,,,
6/2/2025,,,,,,
Hudson Lance,,,,,,
P,FR,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
Winthrop,,,,,,
6/2/2025,,,,,,
Will Vasseur,,,,,,
3B,JR,,,,,
Memphis,,,,,,
2025,,,,,,
UC Santa Barbara,,,,,,
6/2/2025,,,,,,
Daniel Musgjerd,,,,,,
P,FR,,,,,
Charlotte,,,,,,
2025,,,,,,
Concordia St. Paul,,,,,,
6/2/2025,,,,,,
Daniel Zang,,,,,,
P,JR,,,,,
Wichita State,,,,,,
2025,,,,,,
Minnesota State,,,,,,
6/2/2025,,,,,,
Cole Carbone,,,,,,
C,FR,,,,,
Houston,,,,,,
2025,,,,,,
Delaware,,,,,,
6/2/2025,,,,,,
Ayden Alsobrooks,,,,,,
OF,JR,,,,,
Arkansas State,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/2/2025,,,,,,
Christian Coppola,,,,,,
P,JR,,,,,
Arizona,,,,,,
2025,,,,,,
Saint Joseph's,,,,,,
6/2/2025,,,,,,
Will Bowen,,,,,,
LF,JR,,,,,
Hawaii,,,,,,
2025,,,,,,
Grand Valley State,,,,,,
6/2/2025,,,,,,
Chance Bentley,,,,,,
C,SO,,,,,
Evansville,,,,,,
2025,,,,,,
Indiana Southeast,,,,,,
6/2/2025,,,,,,
Eric De Costa,,,,,,
P,FR,,,,,
Cincinnati,,,,,,
2025,,,,,,
West Georgia,,,,,,
6/2/2025,,,,,,
Nico Libed,,,,,,
LF,SO,,,,,
San Diego,,,,,,
2025,,,,,,
UC Santa Barbara,,,,,,
6/2/2025,,,,,,
Peter Johnson,,,,,,
OF,JR,,,,,
Liberty,,,,,,
2025,,,,,,
Xavier,,,,,,
6/2/2025,,,,,,
Griffin Howell,,,,,,
P,SO,,,,,
Northern Kentucky,,,,,,
2025,,,,,,
Eastern Kentucky,,,,,,
6/2/2025,,,,,,
Drew Howard,,,,,,
3B,JR,,,,,
Evansville,,,,,,
2025,,,,,,
Western Michigan,,,,,,
6/2/2025,,,,,,
AJ Lausten,,,,,,
P,SO,,,,,
St. John's,,,,,,
2025,,,,,,
North Dakota State,,,,,,
6/2/2025,,,,,,
Sean Martinez,,,,,,
2B,FR,,,,,
Saint Peter's,,,,,,
2025,,,,,,
Boston College,,,,,,
6/2/2025,,,,,,
Lucas Boesen,,,,,,
P,JR,,,,,
Utah,,,,,,
2025,,,,,,
UNC Asheville,,,,,,
6/2/2025,,,,,,
Micah Henson,,,,,,
P,FR,,,,,
Kansas State,,,,,,
2025,,,,,,
Texas Tech,,,,,,
6/2/2025,,,,,,
Zachary Fetchel,,,,,,
P,SO,,,,,
Texas Tech,,,,,,
2025,,,,,,
Rice,,,,,,
6/2/2025,,,,,,
Kenan Elarton,,,,,,
P,FR,,,,,
Arizona,,,,,,
2025,,,,,,
Houston Christian,,,,,,
6/2/2025,,,,,,
Kutter-Gage Webb,,,,,,
IF,FR,,,,,
Texas State,,,,,,
2025,,,,,,
Rice,,,,,,
6/2/2025,,,,,,
Jackson Mayo,,,,,,
P,JR,,,,,
Texas State,,,,,,
2025,,,,,,
Rice,,,,,,
6/2/2025,,,,,,
Adan Longoria,,,,,,
P,SO,,,,,
USF,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/2/2025,,,,,,
Stewart Puckett,,,,,,
DH,SO,,,,,
USF,,,,,,
2025,,,,,,
South Alabama,,,,,,
6/2/2025,,,,,,
River Hart,,,,,,
LF,SO,,,,,
UMass Lowell,,,,,,
2025,,,,,,
Southern New Hampshire,,,,,,
6/2/2025,,,,,,
Javier Crespo,,,,,,
3B,SR,,,,,
Florida International,,,,,,
2025,,,,,,
UCF,,,,,,
6/2/2025,,,,,,
Heitaro Hayashi,,,,,,
P,JR,,,,,
Wagner,,,,,,
2025,,,,,,
Wichita State,,,,,,
6/2/2025,,,,,,
Dawson Kehr,,,,,,
P,FR,,,,,
East Carolina,,,,,,
2025,,,,,,
Gaston College,,,,,,
6/2/2025,,,,,,
Ryan Johnson,,,,,,
P,FR,,,,,
Georgia Tech,,,,,,
2025,,,,,,
Illinois,,,,,,
6/2/2025,,,,,,
Aaron Piasecki,,,,,,
2B,JR,,,,,
Central Michigan,,,,,,
2025,,,,,,
Troy,,,,,,
6/2/2025,,,,,,
Andrew Heffernan,,,,,,
P,SO,,,,,
Merrimack,,,,,,
2025,,,,,,
Bowling Green,,,,,,
6/2/2025,,,,,,
John Mitchell,,,,,,
P,FR,,,,,
Air Force,,,,,,
2025,,,,,,
Boston College,,,,,,
6/2/2025,,,,,,
Payton Hawkinson,,,,,,
P,SO,,,,,
Cal State Fullerton,,,,,,
2025,,,,,,
Stanislaus State,,,,,,
6/2/2025,,,,,,
Donovan Jordan,,,,,,
OF,FR,,,,,
Texas,,,,,,
2025,,,,,,
Missouri,,,,,,
6/2/2025,,,,,,
Aidan Forrest,,,,,,
P-IF,FR,,,,,
Xavier,,,,,,
2025,,,,,,
Saint Peter's,,,,,,
6/2/2025,,,,,,
Jack Messmore,,,,,,
P,JR,,,,,
New Mexico,,,,,,
2025,,,,,,
Youngstown State,,,,,,
6/2/2025,,,,,,
Roman Kimball,,,,,,
P,JR,,,,,
South Carolina,,,,,,
2025,,,,,,
UCF,,,,,,
6/2/2025,,,,,,
Blaine French,,,,,,
RF,JR,,,,,
Central Arkansas,,,,,,
2025,,,,,,
Pacific,,,,,,
6/2/2025,,,,,,
Kevin Hammond,,,,,,
C,SO,,,,,
Lipscomb,,,,,,
2025,,,,,,
Carson-Newman,,,,,,
6/2/2025,,,,,,
Jacob Kirby,,,,,,
P,SO,,,,,
North Carolina,,,,,,
2025,,,,,,
USC Upstate,,,,,,
6/2/2025,,,,,,
Nash Wagner,,,,,,
P,FR,,,,,
Alabama,,,,,,
2025,,,,,,
Indiana,,,,,,
6/2/2025,,,,,,
Connor Ball,,,,,,
P,JR,,,,,
Alabama,,,,,,
2025,,,,,,
Stetson,,,,,,
6/2/2025,,,,,,
Colby Chambers,,,,,,
P,FR,,,,,
Utah,,,,,,
2025,,,,,,
Salt Lake,,,,,,
6/2/2025,,,,,,
Grady Daniels,,,,,,
DH,FR,,,,,
Utah Tech,,,,,,
2025,,,,,,
Salt Lake,,,,,,
6/2/2025,,,,,,
Jack Vallario,,,,,,
IF,JR,,,,,
Fordham,,,,,,
2025,,,,,,
Molloy University,,,,,,
6/2/2025,,,,,,
John Holley,,,,,,
C,FR,,,,,
Georgia State,,,,,,
2025,,,,,,
Coastal Alabama-South,,,,,,
6/2/2025,,,,,,
Cayden Sheffield,,,,,,
OF-C,FR,,,,,
Georgia Tech,,,,,,
2025,,,,,,
North Alabama,,,,,,
6/2/2025,,,,,,
Aiden Cook,,,,,,
P,SO,,,,,
Xavier,,,,,,
2025,,,,,,
Ohio,,,,,,
6/2/2025,,,,,,
Jude Hall,,,,,,
CF,SR,,,,,
Southeastern Louisiana,,,,,,
2025,,,,,,
Dallas Baptist,,,,,,
6/2/2025,,,,,,
Evan Blanco,,,,,,
P,JR,,,,,
Virginia,,,,,,
2025,,,,,,
Tennessee,,,,,,
6/2/2025,,,,,,
Neil Griffin,,,,,,
IF-OF,FR,,,,,
East Carolina,,,,,,
2025,,,,,,
Wingate,,,,,,
6/2/2025,,,,,,
Camden Chalfant,,,,,,
P,JR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
High Point,,,,,,
6/2/2025,,,,,,
Ryan Hench,,,,,,
P,FR,,,,,
North Carolina,,,,,,
2025,,,,,,
College of Charleston,,,,,,
6/2/2025,,,,,,
Miguel Cantu,,,,,,
LF,JR,,,,,
Indiana State,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/2/2025,,,,,,
Aris Rivera,,,,,,
C,JR,,,,,
UCF,,,,,,
2025,,,,,,
Florida International,,,,,,
6/2/2025,,,,,,
Bodie Vail,,,,,,
P,JR,,,,,
Samford,,,,,,
2025,,,,,,
University of Montevallo,,,,,,
6/2/2025,,,,,,
Drew Loikits,,,,,,
2B,SO,,,,,
Wofford,,,,,,
2025,,,,,,
Central Michigan,,,,,,
6/2/2025,,,,,,
Reagan Rivera,,,,,,
P,SR,,,,,
Coppin State,,,,,,
2025,,,,,,
Indiana,,,,,,
6/2/2025,,,,,,
Seth Benes,,,,,,
P,SO,,,,,
Indiana,,,,,,
2025,,,,,,
Lindenwood,,,,,,
6/2/2025,,,,,,
Boston Warkentin,,,,,,
P,SO,,,,,
Washington,,,,,,
2025,,,,,,
Hawaii,,,,,,
6/2/2025,,,,,,
Josh Williams,,,,,,
OF,SO,,,,,
North Greenville,,,,,,
2025,,,,,,
UNC Asheville,,,,,,
6/2/2025,,,,,,
Jack Harley,,,,,,
IF,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Stetson,,,,,,
6/2/2025,,,,,,
Estaban Sepulveda,,,,,,
C,FR,,,,,
Pepperdine,,,,,,
2025,,,,,,
UC Riverside,,,,,,
6/2/2025,,,,,,
Logan Knight,,,,,,
P,SR,,,,,
North Dakota State,,,,,,
2025,,,,,,
Cincinnati,,,,,,
6/2/2025,,,,,,
Carlos Vasquez,,,,,,
3B,JR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/2/2025,,,,,,
Paul Wheeler,,,,,,
P,FR,,,,,
UC Santa Barbara,,,,,,
2025,,,,,,
San Francisco,,,,,,
6/2/2025,,,,,,
Rohne Klein,,,,,,
IF,FR,,,,,
Utah,,,,,,
2025,,,,,,
San Jose State,,,,,,
6/2/2025,,,,,,
Garrett Sinfield,,,,,,
P,SO,,,,,
Fresno State,,,,,,
2025,,,,,,
Hawaii Pacific,,,,,,
6/2/2025,,,,,,
Mikey Murphy,,,,,,
LF,SO,,,,,
Central Michigan,,,,,,
2025,,,,,,
Campbell,,,,,,
6/2/2025,,,,,,
Joe Gomez,,,,,,
P,FR,,,,,
VCU,,,,,,
2025,,,,,,
Longwood,,,,,,
6/2/2025,,,,,,
Ben Karpowicz,,,,,,
LF,SO,,,,,
Campbell,,,,,,
2025,,,,,,
Wingate,,,,,,
6/2/2025,,,,,,
Chase Davis,,,,,,
P,FR,,,,,
South Alabama,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/2/2025,,,,,,
Sal Mineo,,,,,,
LF,FR,,,,,
Ohio State,,,,,,
2025,,,,,,
Delaware,,,,,,
6/2/2025,,,,,,
Charlie Atkinson,,,,,,
P,SO,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
Baylor,,,,,,
6/2/2025,,,,,,
Grant Hunter,,,,,,
LF,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Binghamton,,,,,,
6/2/2025,,,,,,
Lucas Foley,,,,,,
P,SO,,,,,
Valparaiso,,,,,,
2025,,,,,,
Illinois State,,,,,,
6/2/2025,,,,,,
Amir Gray,,,,,,
IF-OF,FR,,,,,
Purdue,,,,,,
2025,,,,,,
Dayton,,,,,,
6/2/2025,,,,,,
Julien Hachem,,,,,,
P,JR,,,,,
North Dakota State,,,,,,
2025,,,,,,
Erskine,,,,,,
6/2/2025,,,,,,
Caleb Hughes,,,,,,
P,FR,,,,,
Southern Miss,,,,,,
2025,,,,,,
Mercer,,,,,,
6/2/2025,,,,,,
Jaxon Huffman,,,,,,
P,SO,,,,,
Michigan State,,,,,,
2025,,,,,,
Chattanooga State,,,,,,
6/2/2025,,,,,,
Isaac Boss,,,,,,
P,FR,,,,,
Evansville,,,,,,
2025,,,,,,
Oklahoma Baptist,,,,,,
6/2/2025,,,,,,
Zack Stewart,,,,,,
RF,JR,,,,,
Missouri State,,,,,,
2025,,,,,,
Arkansas,,,,,,
6/2/2025,,,,,,
Tyler Deleskiewicz,,,,,,
P,JR,,,,,
Milwaukee,,,,,,
2025,,,,,,
Northern Illinois,,,,,,
6/2/2025,,,,,,
Gavin Pacheco,,,,,,
P,SO,,,,,
San Francisco,,,,,,
2025,,,,,,
Hawaii Pacific,,,,,,
6/2/2025,,,,,,
Kaden Jacobi,,,,,,
P,SR,,,,,
Missouri,,,,,,
2025,,,,,,
Indiana,,,,,,
6/2/2025,,,,,,
Tucker Russell,,,,,,
P,JR,,,,,
Wichita State,,,,,,
2025,,,,,,
Fort Hays,,,,,,
6/2/2025,,,,,,
Ryan Rushing,,,,,,
P,SO,,,,,
Indiana,,,,,,
2025,,,,,,
FGCU,,,,,,
6/2/2025,,,,,,
Matthew Widra,,,,,,
OF,FR,,,,,
South Alabama,,,,,,
2025,,,,,,
University of Montevallo,,,,,,
6/2/2025,,,,,,
Reef Danner,,,,,,
IF,JR,,,,,
Little Rock,,,,,,
2025,,,,,,
Biola,,,,,,
6/2/2025,,,,,,
Luc Lawler,,,,,,
P,FR,,,,,
Evansville,,,,,,
2025,,,,,,
Illinois Wesleyan,,,,,,
6/2/2025,,,,,,
Elliot Cadieux-Lanoue,,,,,,
P,SO,,,,,
Iowa,,,,,,
2025,,,,,,
FGCU,,,,,,
6/2/2025,,,,,,
Brady Stuewe,,,,,,
P,SR,,,,,
Kansas State,,,,,,
2025,,,,,,
Pittsburg State,,,,,,
6/2/2025,,,,,,
Graham Kasey,,,,,,
P,FR,,,,,
Eastern Illinois,,,,,,
2025,,,,,,
Illinois Springfield,,,,,,
6/2/2025,,,,,,
Brock Wirthgen,,,,,,
C,FR,,,,,
California Baptist,,,,,,
2025,,,,,,
Hawaii Pacific,,,,,,
6/2/2025,,,,,,
Micah Takac,,,,,,
P,JR,,,,,
Mercer,,,,,,
2025,,,,,,
North Greenville,,,,,,
6/2/2025,,,,,,
Luc Lavigueur,,,,,,
P,JR,,,,,
Maine,,,,,,
2025,,,,,,
Rhode Island,,,,,,
6/2/2025,,,,,,
Dusty Vela,,,,,,
SS,JR,,,,,
Winthrop,,,,,,
2025,,,,,,
CSU Bakersfield,,,,,,
6/2/2025,,,,,,
Parker Airhart,,,,,,
C,SR,,,,,
UT Arlington,,,,,,
2025,,,,,,
Murray State,,,,,,
6/2/2025,,,,,,
Jase Woita,,,,,,
DH,JR,,,,,
South Carolina,,,,,,
2025,,,,,,
Missouri,,,,,,
6/2/2025,,,,,,
Ryan Drumm,,,,,,
LF,SO,,,,,
Butler,,,,,,
2025,,,,,,
Liberty,,,,,,
6/2/2025,,,,,,
Kevin Duran,,,,,,
2B,JR,,,,,
Stephen F. Austin,,,,,,
2025,,,,,,
Lamar,,,,,,
6/2/2025,,,,,,
Sam Grube,,,,,,
2B,FR,,,,,
Mount St. Mary's,,,,,,
2025,,,,,,
Virginia Tech,,,,,,
6/2/2025,,,,,,
Jamie Whittier,,,,,,
P,FR,,,,,
Wofford,,,,,,
2025,,,,,,
Augusta,,,,,,
6/2/2025,,,,,,
KJ Moon,,,,,,
P-IF,FR,,,,,
Mercer,,,,,,
2025,,,,,,
Augusta,,,,,,
6/2/2025,,,,,,
Tommy Bridges,,,,,,
P,FR,,,,,
TCU,,,,,,
2025,,,,,,
Northwestern,,,,,,
6/2/2025,,,,,,
Austin Vargas,,,,,,
P,FR,,,,,
Texas A&M,,,,,,
2025,,,,,,
Nicholls,,,,,,
6/2/2025,,,,,,
Troy Osborne,,,,,,
UT,FR,,,,,
Sacramento State,,,,,,
2025,,,,,,
Portland,,,,,,
6/2/2025,,,,,,
Jack McWilliams,,,,,,
P,FR,,,,,
San Diego,,,,,,
2025,,,,,,
Columbia,,,,,,
6/2/2025,,,,,,
Zane Frese,,,,,,
P,SO,,,,,
Winthrop,,,,,,
2025,,,,,,
Illinois Springfield,,,,,,
6/2/2025,,,,,,
Wes Pritchard,,,,,,
P,FR,,,,,
Mississippi State,,,,,,
2025,,,,,,
Arkansas State,,,,,,
6/2/2025,,,,,,
Hayden Christiansen,,,,,,
C,JR,,,,,
Xavier,,,,,,
2025,,,,,,
Miami (OH),,,,,,
6/2/2025,,,,,,
Brendan Sweeney,,,,,,
P,JR,,,,,
South Carolina,,,,,,
2025,,,,,,
Mississippi State,,,,,,
6/2/2025,,,,,,
Jorge Vazquez,,,,,,
P,JR,,,,,
Southern,,,,,,
2025,,,,,,
Lewis,,,,,,
6/2/2025,,,,,,
Luke Johnson,,,,,,
3B,SO,,,,,
West Georgia,,,,,,
2025,,,,,,
UVa Wise,,,,,,
6/2/2025,,,,,,
Jason Masick,,,,,,
P,JR,,,,,
Wagner,,,,,,
2025,,,,,,
Rutgers,,,,,,
6/2/2025,,,,,,
Mark Quatrani,,,,,,
C,SO,,,,,
Cornell,,,,,,
2025,,,,,,
Notre Dame,,,,,,
6/2/2025,,,,,,
Johnny Backus,,,,,,
OF,FR,,,,,
Michigan,,,,,,
2025,,,,,,
Pepperdine,,,,,,
6/2/2025,,,,,,
Chase Herrell,,,,,,
P,SO,,,,,
Ohio State,,,,,,
2025,,,,,,
USC,,,,,,
6/2/2025,,,,,,
Kael Gahan,,,,,,
P,FR,,,,,
Duke,,,,,,
2025,,,,,,
Chipola,,,,,,
6/2/2025,,,,,,
Jasen Oliver,,,,,,
2B,SO,,,,,
Indiana,,,,,,
2025,,,,,,
Michigan,,,,,,
6/2/2025,,,,,,
Coltin Quagliano,,,,,,
2B,SR,,,,,
Illinois,,,,,,
2025,,,,,,
Duke,,,,,,
6/2/2025,,,,,,
Sam Winsett,,,,,,
IF,FR,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
Delaware,,,,,,
6/2/2025,,,,,,
Leewood Molessa,,,,,,
1B,JR,,,,,
UMBC,,,,,,
2025,,,,,,
Eastern Michigan,,,,,,
6/2/2025,,,,,,
Isaac Williams,,,,,,
P,SO,,,,,
UCF,,,,,,
2025,,,,,,
Oklahoma,,,,,,
6/2/2025,,,,,,
Blaine Wynk,,,,,,
P,JR,,,,,
Ohio State,,,,,,
2025,,,,,,
Georgia,,,,,,
6/2/2025,,,,,,
Anthony Quigley,,,,,,
DH,FR,,,,,
USF,,,,,,
2025,,,,,,
Northwest Florida State,,,,,,
6/2/2025,,,,,,
EJ Burns,,,,,,
IF,FR,,,,,
FGCU,,,,,,
2025,,,,,,
Indian River State,,,,,,
6/2/2025,,,,,,
Will Palmer,,,,,,
P,SO,,,,,
Campbell,,,,,,
2025,,,,,,
Radford,,,,,,
6/2/2025,,,,,,
Jack Berg,,,,,,
P,SO,,,,,
Arizona,,,,,,
2025,,,,,,
Hawaii,,,,,,
6/2/2025,,,,,,
Jake Lambdin,,,,,,
3B,SO,,,,,
Xavier,,,,,,
2025,,,,,,
Duke,,,,,,
6/2/2025,,,,,,
Harry Carr,,,,,,
3B,FR,,,,,
Butler,,,,,,
2025,,,,,,
Delaware,,,,,,
6/2/2025,,,,,,
Ryan Jones,,,,,,
IF-OF,FR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Abilene Christian,,,,,,
6/2/2025,,,,,,
Devin Wolff,,,,,,
P,FR,,,,,
Connecticut,,,,,,
2025,,,,,,
Fairfield,,,,,,
6/2/2025,,,,,,
Jake Haarde,,,,,,
IF,FR,,,,,
Penn State,,,,,,
2025,,,,,,
Fairfield,,,,,,
6/2/2025,,,,,,
Hunter Hoxie,,,,,,
P,FR,,,,,
Rutgers,,,,,,
2025,,,,,,
Fairfield,,,,,,
6/2/2025,,,,,,
JJ Garcia,,,,,,
P,SO,,,,,
Tennessee,,,,,,
2024,,,,,,
Appalachian State,,,,,,
6/2/2025,,,,,,
Aaron Zenus,,,,,,
P,JR,,,,,
Jacksonville,,,,,,
2025,,,,,,
Flagler,,,,,,
6/2/2025,,,,,,
Tank Yaghoubi,,,,,,
